[Software Info]
Build,NTA 2.3 build 0025

[Sample Information]
96,4.0622,3.9865,4.4555,3.1315,4.5154,4.0302,0.2477,
97,4.0744,4.0474,4.5679,3.1391,4.5128,4.0683,0.2560,
98,4.0706,4.1250,4.6897,3.1546,4.5180,4.1116,0.2662,
99,4.0526,4.2179,4.8171,3.1776,4.5314,4.1594,0.2784,
100,4.0218,4.3234,4.9456,3.2071,4.5524,4.2101,0.2926,
101,3.9796,4.4376,5.0701,3.2414,4.5795,4.2616,0.3087,
102,3.9273,4.5567,5.1855,3.2786,4.6108,4.3118,0.3262,
103,3.8656,4.6758,5.2868,3.3167,4.6439,4.3578,0.3444,
104,3.7959,4.7906,5.3698,3.3536,4.6766,4.3973,0.3626,
105,3.7188,4.8966,5.4302,3.3875,4.7063,4.4279,0.3799,
106,3.6358,4.9902,5.4653,3.4168,4.7303,4.4477,0.3957,
107,3.5485,5.0681,5.4734,3.4402,4.7469,4.4554,0.4093,
108,3.4585,5.1281,5.4538,3.4570,4.7536,4.4502,0.4201,
109,3.3680,5.1691,5.4071,3.4666,4.7495,4.4321,0.4277,
110,3.2792,5.1902,5.3349,3.4690,4.7331,4.4013,0.4320,
111,3.1943,5.1922,5.2397,3.4643,4.7039,4.3589,0.4328,
112,3.1154,5.1761,5.1249,3.4538,4.6621,4.3065,0.4300,
113,3.0442,5.1443,4.9941,3.4387,4.6082,4.2459,0.4239,
114,2.9821,5.0992,4.8516,3.4202,4.5437,4.1794,0.4148,
115,2.9300,5.0434,4.7010,3.4001,4.4703,4.1089,0.4029,
116,2.8881,4.9800,4.5463,3.3803,4.3902,4.0370,0.3889,
117,2.8562,4.9120,4.3909,3.3626,4.3061,3.9655,0.3733,
118,2.8337,4.8420,4.2377,3.3490,4.2206,3.8966,0.3567,
119,2.8198,4.7724,4.0893,3.3405,4.1365,3.8317,0.3398,
120,2.8134,4.7047,3.9471,3.3382,4.0560,3.7719,0.3231,
121,2.8132,4.6404,3.8128,3.3425,3.9814,3.7181,0.3073,
122,2.8185,4.5802,3.6871,3.3533,3.9142,3.6707,0.2927,
123,2.8284,4.5244,3.5703,3.3700,3.8557,3.6298,0.2797,
124,2.8419,4.4727,3.4625,3.3913,3.8064,3.5950,0.2684,
125,2.8585,4.4245,3.3635,3.4158,3.7662,3.5657,0.2590,
126,2.8779,4.3793,3.2730,3.4414,3.7347,3.5413,0.2512,
127,2.8995,4.3359,3.1904,3.4662,3.7111,3.5206,0.2448,
128,2.9232,4.2937,3.1152,3.4882,3.6939,3.5029,0.2396,
129,2.9488,4.2518,3.0466,3.5055,3.6815,3.4868,0.2352,
130,2.9758,4.2095,2.9842,3.5167,3.6721,3.4716,0.2313,
131,3.0038,4.1663,2.9272,3.5207,3.6638,3.4564,0.2276,
132,3.0323,4.1222,2.8752,3.5167,3.6551,3.4403,0.2239,
133,3.0608,4.0771,2.8275,3.5047,3.6441,3.4229,0.2201,
134,3.0883,4.0312,2.7837,3.4849,3.6293,3.4035,0.2162,
135,3.1140,3.9847,2.7432,3.4580,3.6096,3.3819,0.2122,
136,3.1371,3.9383,2.7058,3.4250,3.5841,3.3581,0.2081,
137,3.1567,3.8925,2.6711,3.3871,3.5520,3.3319,0.2041,
138,3.1722,3.8481,2.6392,3.3456,3.5132,3.3036,0.2001,
139,3.1828,3.8052,2.6093,3.3016,3.4673,3.2732,0.1963,
140,3.1881,3.7648,2.5816,3.2564,3.4148,3.2411,0.1927,
141,3.1877,3.7270,2.5558,3.2109,3.3558,3.2074,0.1893,
142,3.1816,3.6922,2.5319,3.1657,3.2911,3.1725,0.1864,
143,3.1697,3.6602,2.5097,3.1212,3.2211,3.1364,0.1838,
144,3.1524,3.6310,2.4890,3.0777,3.1464,3.0993,0.1817,
145,3.1299,3.6043,2.4699,3.0350,3.0678,3.0614,0.1803,
146,3.1028,3.5797,2.4521,2.9927,2.9863,3.0227,0.1795,
147,3.0715,3.5567,2.4356,2.9506,2.9021,2.9833,0.1795,
148,3.0366,3.5345,2.4199,2.9079,2.8158,2.9430,0.1802,
149,2.9986,3.5125,2.4049,2.8644,2.7283,2.9017,0.1818,
150,2.9581,3.4900,2.3901,2.8194,2.6397,2.8595,0.1840,
151,2.9155,3.4662,2.3753,2.7726,2.5507,2.8161,0.1870,
152,2.8712,3.4406,2.3600,2.7237,2.4619,2.7715,0.1904,
153,2.8255,3.4124,2.3438,2.6725,2.3735,2.7255,0.1942,
154,2.7789,3.3811,2.3260,2.6191,2.2858,2.6782,0.1982,
155,2.7313,3.3464,2.3064,2.5636,2.1994,2.6294,0.2022,
156,2.6831,3.3078,2.2844,2.5064,2.1144,2.5792,0.2061,
157,2.6345,3.2654,2.2596,2.4480,2.0314,2.5278,0.2098,
158,2.5854,3.2187,2.2315,2.3887,1.9506,2.4750,0.2130,
159,2.5362,3.1680,2.2000,2.3292,1.8724,2.4212,0.2156,
160,2.4870,3.1132,2.1647,2.2702,1.7970,2.3664,0.2175,
161,2.4381,3.0545,2.1256,2.2123,1.7247,2.3110,0.2187,
162,2.3894,2.9921,2.0826,2.1559,1.6558,2.2552,0.2191,
163,2.3413,2.9263,2.0359,2.1017,1.5905,2.1991,0.2186,
164,2.2939,2.8574,1.9855,2.0500,1.5289,2.1431,0.2172,
165,2.2476,2.7858,1.9319,2.0015,1.4713,2.0876,0.2150,
166,2.2025,2.7117,1.8754,1.9561,1.4176,2.0327,0.2120,
167,2.1588,2.6357,1.8164,1.9140,1.3678,1.9785,0.2083,
168,2.1167,2.5579,1.7556,1.8753,1.3221,1.9255,0.2040,
169,2.0765,2.4791,1.6935,1.8398,1.2803,1.8739,0.1992,
170,2.0383,2.3994,1.6308,1.8073,1.2426,1.8237,0.1940,
171,2.0021,2.3194,1.5680,1.7776,1.2089,1.7752,0.1886,
172,1.9679,2.2393,1.5057,1.7503,1.1789,1.7284,0.1831,
173,1.9360,2.1595,1.4447,1.7250,1.1526,1.6836,0.1776,
174,1.9062,2.0805,1.3854,1.7012,1.1298,1.6406,0.1723,
175,1.8784,2.0027,1.3284,1.6785,1.1106,1.5997,0.1672,
176,1.8526,1.9264,1.2742,1.6563,1.0947,1.5608,0.1624,
177,1.8286,1.8520,1.2230,1.6344,1.0819,1.5239,0.1579,
178,1.8061,1.7798,1.1751,1.6120,1.0720,1.4890,0.1537,
179,1.7851,1.7100,1.1309,1.5892,1.0651,1.4561,0.1498,
180,1.7652,1.6430,1.0905,1.5653,1.0608,1.4250,0.1462,
181,1.7461,1.5790,1.0539,1.5402,1.0589,1.3956,0.1427,
182,1.7275,1.5180,1.0210,1.5136,1.0593,1.3679,0.1394,
183,1.7093,1.4605,0.9919,1.4854,1.0617,1.3418,0.1361,
184,1.6912,1.4064,0.9665,1.4555,1.0658,1.3171,0.1329,
185,1.6729,1.3558,0.9445,1.4239,1.0717,1.2938,0.1296,
186,1.6542,1.3089,0.9257,1.3906,1.0788,1.2716,0.1262,
187,1.6349,1.2656,0.9099,1.3556,1.0871,1.2506,0.1228,
188,1.6150,1.2259,0.8967,1.3192,1.0963,1.2306,0.1194,
