[Software Info]
Build,NTA 2.3 build 0025

[Sample Information]
165,1.6892,2.5336,2.9417,2.5542,2.7546,2.4947,0.2146,
166,1.6589,2.5043,2.8754,2.4997,2.7313,2.4539,0.2111,
167,1.6283,2.4755,2.8079,2.4459,2.7062,2.4128,0.2077,
168,1.5973,2.4473,2.7394,2.3930,2.6795,2.3713,0.2044,
169,1.5660,2.4199,2.6695,2.3412,2.6515,2.3296,0.2013,
170,1.5346,2.3933,2.5986,2.2907,2.6223,2.2879,0.1984,
171,1.5032,2.3677,2.5266,2.2418,2.5923,2.2463,0.1956,
172,1.4719,2.3430,2.4538,2.1944,2.5616,2.2049,0.1931,
173,1.4408,2.3194,2.3805,2.1489,2.5306,2.1641,0.1909,
174,1.4103,2.2968,2.3071,2.1055,2.4994,2.1238,0.1890,
175,1.3804,2.2753,2.2338,2.0643,2.4683,2.0844,0.1874,
176,1.3513,2.2547,2.1614,2.0257,2.4373,2.0461,0.1861,
177,1.3232,2.2349,2.0900,1.9895,2.4066,2.0088,0.1852,
178,1.2961,2.2155,2.0202,1.9559,2.3762,1.9728,0.1847,
179,1.2702,2.1965,1.9522,1.9248,2.3462,1.9380,0.1844,
180,1.2456,2.1777,1.8865,1.8963,2.3167,1.9046,0.1843,
181,1.2224,2.1586,1.8232,1.8702,2.2875,1.8724,0.1843,
182,1.2006,2.1389,1.7627,1.8463,2.2587,1.8414,0.1843,
183,1.1801,2.1185,1.7050,1.8243,2.2301,1.8116,0.1843,
184,1.1610,2.0970,1.6502,1.8041,2.2017,1.7828,0.1842,
185,1.1434,2.0743,1.5984,1.7853,2.1735,1.7550,0.1839,
186,1.1270,2.0500,1.5494,1.7675,2.1452,1.7278,0.1834,
187,1.1119,2.0241,1.5034,1.7503,2.1169,1.7013,0.1825,
188,1.0980,1.9963,1.4600,1.7334,2.0883,1.6752,0.1812,
189,1.0853,1.9668,1.4194,1.7165,2.0595,1.6495,0.1795,
190,1.0736,1.9355,1.3814,1.6991,2.0304,1.6240,0.1774,
191,1.0629,1.9025,1.3455,1.6808,2.0010,1.5985,0.1749,
192,1.0531,1.8679,1.3118,1.6615,1.9711,1.5731,0.1720,
193,1.0441,1.8319,1.2802,1.6408,1.9408,1.5475,0.1687,
194,1.0358,1.7947,1.2502,1.6184,1.9102,1.5219,0.1650,
195,1.0283,1.7566,1.2220,1.5943,1.8793,1.4961,0.1610,
196,1.0213,1.7177,1.1952,1.5683,1.8480,1.4701,0.1566,
197,1.0149,1.6784,1.1697,1.5403,1.8166,1.4440,0.1521,
198,1.0090,1.6388,1.1454,1.5102,1.7850,1.4177,0.1472,
199,1.0035,1.5993,1.1221,1.4782,1.7533,1.3913,0.1423,
200,0.9985,1.5600,1.0997,1.4443,1.7217,1.3648,0.1372,
201,0.9938,1.5211,1.0781,1.4086,1.6901,1.3383,0.1320,
202,0.9895,1.4829,1.0571,1.3713,1.6587,1.3119,0.1269,
203,0.9854,1.4453,1.0366,1.3326,1.6275,1.2855,0.1218,
204,0.9816,1.4086,1.0167,1.2927,1.5967,1.2593,0.1169,
205,0.9781,1.3726,0.9971,1.2519,1.5662,1.2332,0.1121,
206,0.9747,1.3375,0.9778,1.2104,1.5361,1.2073,0.1077,
207,0.9715,1.3033,0.9587,1.1684,1.5063,1.1817,0.1035,
208,0.9685,1.2697,0.9398,1.1263,1.4771,1.1563,0.0997,
209,0.9656,1.2371,0.9210,1.0843,1.4484,1.1313,0.0963,
210,0.9627,1.2050,0.9022,1.0427,1.4199,1.1065,0.0934,
211,0.9597,1.1735,0.8835,1.0016,1.3920,1.0821,0.0909,
212,0.9567,1.1425,0.8646,0.9614,1.3645,1.0579,0.0889,
213,0.9535,1.1118,0.8459,0.9221,1.3373,1.0341,0.0873,
214,0.9501,1.0815,0.8273,0.8842,1.3105,1.0107,0.0861,
215,0.9464,1.0513,0.8087,0.8476,1.2839,0.9876,0.0852,
216,0.9423,1.0212,0.7902,0.8124,1.2577,0.9648,0.0846,
217,0.9378,0.9913,0.7717,0.7789,1.2317,0.9423,0.0843,
218,0.9328,0.9613,0.7533,0.7469,1.2060,0.9201,0.0841,
219,0.9272,0.9314,0.7351,0.7167,1.1805,0.8982,0.0840,
220,0.9209,0.9015,0.7170,0.6881,1.1552,0.8765,0.0840,
221,0.9139,0.8717,0.6992,0.6611,1.1302,0.8552,0.0841,
222,0.9063,0.8419,0.6816,0.6358,1.1054,0.8342,0.0841,
223,0.8979,0.8121,0.6643,0.6121,1.0809,0.8135,0.0841,
224,0.8887,0.7825,0.6474,0.5900,1.0566,0.7930,0.0840,
225,0.8787,0.7531,0.6308,0.5692,1.0327,0.7729,0.0839,
226,0.8680,0.7241,0.6146,0.5498,1.0091,0.7531,0.0837,
227,0.8566,0.6954,0.5987,0.5316,0.9858,0.7336,0.0834,
228,0.8444,0.6671,0.5833,0.5146,0.9630,0.7145,0.0831,
229,0.8316,0.6394,0.5683,0.4987,0.9405,0.6957,0.0827,
230,0.8182,0.6123,0.5536,0.4837,0.9186,0.6773,0.0822,
231,0.8042,0.5860,0.5395,0.4695,0.8971,0.6593,0.0817,
232,0.7898,0.5604,0.5257,0.4560,0.8762,0.6416,0.0811,
233,0.7750,0.5358,0.5123,0.4432,0.8559,0.6244,0.0805,
234,0.7598,0.5121,0.4993,0.4310,0.8362,0.6077,0.0798,
235,0.7445,0.4894,0.4866,0.4193,0.8170,0.5914,0.0792,
236,0.7290,0.4678,0.4743,0.4080,0.7985,0.5755,0.0785,
237,0.7135,0.4475,0.4623,0.3971,0.7807,0.5602,0.0778,
238,0.6980,0.4282,0.4506,0.3865,0.7635,0.5454,0.0771,
239,0.6827,0.4103,0.4393,0.3762,0.7469,0.5311,0.0763,
240,0.6674,0.3937,0.4281,0.3661,0.7310,0.5173,0.0756,
241,0.6525,0.3784,0.4173,0.3563,0.7158,0.5040,0.0748,
242,0.6378,0.3644,0.4067,0.3466,0.7013,0.4913,0.0741,
243,0.6235,0.3518,0.3962,0.3371,0.6873,0.4792,0.0733,
244,0.6095,0.3405,0.3860,0.3278,0.6740,0.4676,0.0725,
245,0.5960,0.3306,0.3760,0.3187,0.6613,0.4565,0.0717,
246,0.5828,0.3220,0.3662,0.3097,0.6492,0.4460,0.0708,
247,0.5702,0.3148,0.3566,0.3010,0.6377,0.4360,0.0700,
248,0.5579,0.3089,0.3471,0.2923,0.6267,0.4266,0.0691,
249,0.5462,0.3042,0.3379,0.2839,0.6164,0.4177,0.0682,
250,0.5349,0.3007,0.3288,0.2756,0.6066,0.4093,0.0674,
251,0.5240,0.2985,0.3199,0.2674,0.5973,0.4014,0.0666,
252,0.5136,0.2974,0.3112,0.2595,0.5885,0.3940,0.0657,
253,0.5036,0.2975,0.3026,0.2518,0.5802,0.3871,0.0649,
254,0.4940,0.2985,0.2943,0.2443,0.5723,0.3807,0.0642,
255,0.4848,0.3006,0.2862,0.2370,0.5649,0.3747,0.0635,
256,0.4760,0.3035,0.2783,0.2299,0.5578,0.3691,0.0628,
257,0.4675,0.3074,0.2706,0.2230,0.5512,0.3639,0.0623,
258,0.4594,0.3120,0.2632,0.2163,0.5449,0.3591,0.0618,
259,0.4517,0.3173,0.2560,0.2098,0.5389,0.3547,0.0614,
260,0.4443,0.3232,0.2490,0.2035,0.5333,0.3506,0.0612,
261,0.4372,0.3297,0.2423,0.1974,0.5279,0.3469,0.0610,
262,0.4305,0.3367,0.2359,0.1915,0.5228,0.3435,0.0610,
263,0.4241,0.3441,0.2297,0.1858,0.5178,0.3403,0.0611,
264,0.4180,0.3519,0.2238,0.1804,0.5131,0.3374,0.0613,
265,0.4123,0.3599,0.2182,0.1752,0.5085,0.3348,0.0616,
266,0.4069,0.3681,0.2129,0.1701,0.5041,0.3324,0.0620,
267,0.4018,0.3765,0.2079,0.1653,0.4997,0.3303,0.0625,
268,0.3972,0.3850,0.2032,0.1607,0.4954,0.3283,0.0631,
269,0.3928,0.3934,0.1988,0.1563,0.4911,0.3265,0.0637,
270,0.3889,0.4019,0.1948,0.1522,0.4869,0.3249,0.0644,
271,0.3853,0.4102,0.1910,0.1482,0.4827,0.3235,0.0652,
272,0.3820,0.4184,0.1875,0.1444,0.4784,0.3222,0.0659,
273,0.3792,0.4264,0.1843,0.1409,0.4740,0.3210,0.0667,
274,0.3768,0.4342,0.1815,0.1376,0.4696,0.3199,0.0675,
275,0.3747,0.4417,0.1789,0.1345,0.4651,0.3190,0.0683,
276,0.3731,0.4489,0.1767,0.1316,0.4605,0.3181,0.0690,
277,0.3718,0.4557,0.1747,0.1289,0.4558,0.3174,0.0697,
278,0.3709,0.4621,0.1730,0.1264,0.4510,0.3167,0.0703,
279,0.3704,0.4681,0.1716,0.1242,0.4461,0.3161,0.0709,
280,0.3702,0.4737,0.1705,0.1221,0.4410,0.3155,0.0715,
281,0.3704,0.4788,0.1697,0.1202,0.4358,0.3150,0.0720,
282,0.3709,0.4835,0.1691,0.1186,0.4304,0.3145,0.0724,
283,0.3717,0.4876,0.1687,0.1171,0.4249,0.3140,0.0727,
284,0.3728,0.4912,0.1686,0.1158,0.4193,0.3136,0.0729,
285,0.3742,0.4944,0.1688,0.1147,0.4135,0.3131,0.0731,
286,0.3758,0.4969,0.1691,0.1137,0.4076,0.3126,0.0732,
287,0.3777,0.4989,0.1696,0.1129,0.4015,0.3121,0.0732,
288,0.3797,0.5004,0.1703,0.1123,0.3954,0.3116,0.0731,
289,0.3819,0.5013,0.1712,0.1118,0.3891,0.3110,0.0730,
290,0.3841,0.5016,0.1722,0.1115,0.3827,0.3104,0.0728,
291,0.3865,0.5014,0.1733,0.1112,0.3762,0.3097,0.0725,
292,0.3889,0.5005,0.1746,0.1111,0.3696,0.3089,0.0721,
293,0.3912,0.4991,0.1759,0.1111,0.3629,0.3080,0.0717,
294,0.3936,0.4971,0.1773,0.1112,0.3561,0.3071,0.0711,
295,0.3959,0.4946,0.1788,0.1114,0.3492,0.3060,0.0706,
296,0.3980,0.4914,0.1803,0.1116,0.3423,0.3047,0.0699,
297,0.4000,0.4877,0.1818,0.1119,0.3352,0.3033,0.0692,
298,0.4018,0.4835,0.1833,0.1123,0.3281,0.3018,0.0684,
299,0.4034,0.4787,0.1848,0.1127,0.3210,0.3001,0.0676,
300,0.4048,0.4734,0.1863,0.1132,0.3137,0.2983,0.0667,
301,0.4058,0.4675,0.1876,0.1136,0.3065,0.2962,0.0658,
302,0.4066,0.4611,0.1890,0.1141,0.2992,0.2940,0.0648,
303,0.4070,0.4542,0.1902,0.1146,0.2919,0.2916,0.0638,
304,0.4070,0.4469,0.1913,0.1151,0.2845,0.2890,0.0627,
305,0.4067,0.4391,0.1923,0.1155,0.2772,0.2862,0.0616,
306,0.4059,0.4309,0.1932,0.1160,0.2698,0.2832,0.0605,
307,0.4047,0.4222,0.1940,0.1164,0.2625,0.2800,0.0593,
308,0.4031,0.4132,0.1946,0.1168,0.2552,0.2766,0.0580,
309,0.4011,0.4038,0.1951,0.1171,0.2479,0.2730,0.0568,
310,0.3986,0.3941,0.1953,0.1174,0.2407,0.2692,0.0555,
311,0.3957,0.3841,0.1955,0.1176,0.2335,0.2653,0.0542,
312,0.3923,0.3738,0.1955,0.1178,0.2265,0.2612,0.0529,
313,0.3886,0.3633,0.1953,0.1179,0.2195,0.2569,0.0516,
314,0.3844,0.3526,0.1949,0.1179,0.2127,0.2525,0.0502,
315,0.3798,0.3418,0.1944,0.1179,0.2059,0.2480,0.0488,
316,0.3748,0.3308,0.1937,0.1178,0.1994,0.2433,0.0475,
317,0.3694,0.3197,0.1929,0.1176,0.1930,0.2385,0.0461,
318,0.3637,0.3086,0.1920,0.1174,0.1868,0.2337,0.0447,
319,0.3578,0.2974,0.1908,0.1170,0.1807,0.2288,0.0433,
